Common.Name,SpeciesCode,ScientificName,GrowthHabit,Duration,GrowthHabitSub,UpdatedSpeciesCode,Notes,SpeciesState,Family,Noxious,Invasive,SG_Group,HigherTaxon,Nonnative,SpecialStatus,Photosynthesis,PJ,CurrentPLANTSCode
mouse barley,HOMU,Hordeum murinum,NonWoody,Annual,Graminoid,HOMU,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,HOMU
rush,JUNCU,Juncus species,NonWoody,Perennial,Graminoid,JUNCU,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,JUNCU
needle goldfields,LAGR10,Lasthenia gracilis,NonWoody,Annual,Forb,LAGR10,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,LAGR10
variable linanthus,LEPA51,Leptosiphon parviflorus,NonWoody,Annual,Forb,LEPA51,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,LEPA51
Italian ryegrass,LOPEM2,Lolium perenne,NonWoody,Perennial,Graminoid,LOPEM2,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,LOPEM2
miniature lupine,LUBI,Lupinus bicolor,NonWoody,Annual,Forb,LUBI,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,LUBI
deergrass,MURI2,Muhlenbergia rigens,NonWoody,Perennial,Graminoid,MURI2,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,MURI2
unknown perennial forb species 1,PF01,,NonWoody,Perennial,Forb,NA,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,NA
unknown perennial grass species 1,PG01,,NonWoody,Perennial,Graminoid,NA,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,NA
popcornflower,PLAGI,Plagiobothrys species,NonWoody,Annual,Forb,PLAGI,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,PLAGI
Cooper's popcornflower,PLCO13,Plagiobothrys collinus,NonWoody,Annual,Forb,PLCO13,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,PLCO13
woolly plantain,PLPA2,Plantago patagonica,NonWoody,Annual,Forb,PLPA2,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,PLPA2
Pacific popcornflower,PLTE,Plagiobothrys tenellus,NonWoody,Annual,Forb,PLTE,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,PLTE
Wright's cudweed,PSCAM,Pseudognaphalium canescens,NonWoody,Perennial,Forb,PSCAM,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,PSCAM
tall tumblemustard,SIAL2,Sisymbrium altissimum,NonWoody,Annual,Forb,SIAL2,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,SIAL2
dwarf checkerbloom,SISP7,Sidalcea sparsifolia,NonWoody,Perennial,Forb,SISP7,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,SISP7
intermediate wheatgrass,THIN6,Thinopyrum intermedium,NonWoody,Perennial,Graminoid,THIN6,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,THIN6
clover,TRIFO,Trifolium species,NonWoody,Perennial,Forb,TRIFO,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,TRIFO
goosefoot violet,VIPU4,Viola purpurea,NonWoody,Perennial,Forb,VIPU4,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,VIPU4
sixweeks fescue,VUOCO,Vulpia octoflora,NonWoody,Annual,Graminoid,VUOCO,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,VUOCO
